shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10215,45.451950,-73.677438,140055,31.452
10215,45.452051,-73.676828,140056,31.501
10215,45.452165,-73.676139,140057,31.556
10215,45.452275,-73.675448,140058,31.612
10215,45.452453,-73.674343,140059,31.701
10215,45.452563,-73.673655,140060,31.756
10215,45.452865,-73.671797,140061,31.905
10215,45.452973,-73.671095,140062,31.961
10215,45.452987,-73.671006,140063,31.968
10215,45.452996,-73.670930,140064,31.974
10215,45.453034,-73.670628,140065,31.998
10215,45.453054,-73.670438,140066,32.014
10215,45.453073,-73.670243,140067,32.029
10215,45.453081,-73.670151,140068,32.036
10215,45.453101,-73.669859,140069,32.059
10215,45.453112,-73.669697,140070,32.072
10215,45.453130,-73.669326,140071,32.101
10215,45.453138,-73.668887,140072,32.135
10215,45.453130,-73.668543,140073,32.162
10215,45.453128,-73.668442,140074,32.170
10215,45.453125,-73.668336,140075,32.178
10215,45.453110,-73.668001,140076,32.205
10215,45.453057,-73.667320,140077,32.258
10215,45.452985,-73.666727,140078,32.306
10215,45.452958,-73.666516,140079,32.322
10215,45.452609,-73.663851,140080,32.534
10215,45.452216,-73.660864,140081,32.772
10215,45.451912,-73.658542,140082,32.957
10215,45.451820,-73.657845,140083,33.012
10215,45.451685,-73.656814,140084,33.094
10215,45.451636,-73.656424,140085,33.126
10215,45.451597,-73.656107,140086,33.151
10215,45.451558,-73.655807,140087,33.175
10215,45.451155,-73.652905,140088,33.406
10215,45.451062,-73.652234,140089,33.460
10215,45.451049,-73.652146,140090,33.467
10215,45.451017,-73.651869,140091,33.489
10215,45.450967,-73.651443,140092,33.522
10215,45.450921,-73.651009,140093,33.557
10215,45.450894,-73.650571,140094,33.591
10215,45.450891,-73.650520,140095,33.595
10215,45.450882,-73.650108,140096,33.627
10215,45.450879,-73.649951,140097,33.640
10215,45.450892,-73.649592,140098,33.668
10215,45.450896,-73.649479,140099,33.677
10215,45.450899,-73.649425,140100,33.681
10215,45.450926,-73.648987,140101,33.715
10215,45.450974,-73.648528,140102,33.752
10215,45.451040,-73.648054,140103,33.789
10215,45.451051,-73.647994,140104,33.794
10215,45.451125,-73.647594,140105,33.827
10215,45.451231,-73.647140,140106,33.864
10215,45.451265,-73.646996,140107,33.876
10215,45.451411,-73.646463,140108,33.921
10215,45.451565,-73.646002,140109,33.961
10215,45.451588,-73.645930,140110,33.967
10215,45.451628,-73.645824,140111,33.976
10215,45.451746,-73.645523,140112,34.003
10215,45.451761,-73.645481,140113,34.007
10215,45.451847,-73.645282,140114,34.025
10215,45.451923,-73.645105,140115,34.041
10215,45.451959,-73.645034,140116,34.048
10215,45.452183,-73.644582,140117,34.092
10215,45.452235,-73.644482,140118,34.101
10215,45.452903,-73.643191,140119,34.227
10215,45.453206,-73.642609,140120,34.283
10215,45.453668,-73.641727,140121,34.369
10215,45.453758,-73.641792,150001,34.369
10215,45.454138,-73.641062,150002,34.440
10215,45.454453,-73.640455,150003,34.499
10215,45.454671,-73.640039,150004,34.540
10215,45.454926,-73.639487,150005,34.592
10215,45.455079,-73.639148,150006,34.623
10215,45.455193,-73.638870,150007,34.648
10215,45.455352,-73.638558,150008,34.678
10215,45.455679,-73.637839,150009,34.745
10215,45.455845,-73.637519,150010,34.776
10215,45.456870,-73.635545,150011,34.968
10215,45.457405,-73.634511,150012,35.069
10215,45.457851,-73.633647,150013,35.153
10215,45.459364,-73.630740,150014,35.436
10215,45.459804,-73.629893,150015,35.518
10215,45.461106,-73.627395,150016,35.761
10215,45.462074,-73.625529,150017,35.943
10215,45.462240,-73.625209,150018,35.974
10215,45.462689,-73.624343,150019,36.058
10215,45.462992,-73.623758,150020,36.115
10215,45.463582,-73.622630,150021,36.225
10215,45.464351,-73.621162,150022,36.368
10215,45.464973,-73.619976,150023,36.483
10215,45.465420,-73.619114,150024,36.567
10215,45.466626,-73.616778,150025,36.794
10215,45.467415,-73.615247,150026,36.942
10215,45.467852,-73.614401,150027,37.025
10215,45.468129,-73.613868,150028,37.076
10215,45.468613,-73.612938,150029,37.167
10215,45.469330,-73.611565,150030,37.300
10215,45.470226,-73.609845,150031,37.468
10215,45.470881,-73.608582,150032,37.591
10215,45.470930,-73.608486,150033,37.600
10215,45.470983,-73.608385,150034,37.610
10215,45.471323,-73.607725,150035,37.674
10215,45.471394,-73.607587,150036,37.687
10215,45.471468,-73.607448,150037,37.701
10215,45.472050,-73.606321,150038,37.810
10215,45.472153,-73.606123,150039,37.829
10215,45.472207,-73.606016,150040,37.840
10215,45.472246,-73.605943,150041,37.847
10215,45.472284,-73.605869,150042,37.854
10215,45.472721,-73.605029,150043,37.936
10215,45.472890,-73.604708,150044,37.967
10215,45.473065,-73.604381,150045,37.999
10215,45.473576,-73.603434,150046,38.093
10215,45.473629,-73.603335,150047,38.102
10215,45.473663,-73.603273,150048,38.108
10215,45.473765,-73.603093,150049,38.126
10215,45.473765,-73.603092,160001,38.126
10215,45.474004,-73.602669,160002,38.169
10215,45.474600,-73.601609,160003,38.275
10215,45.475812,-73.599448,160004,38.491
10215,45.476349,-73.598501,160005,38.586
10215,45.476730,-73.597829,160006,38.654
10215,45.476874,-73.597577,160007,38.679
10215,45.477097,-73.597192,160008,38.718
10215,45.477947,-73.595721,160009,38.867
10215,45.478277,-73.595139,160010,38.925
10215,45.478486,-73.594771,160011,38.962
10215,45.478505,-73.594737,160012,38.966
10215,45.478827,-73.594246,160013,39.018
10215,45.478926,-73.594088,160014,39.035
10215,45.478978,-73.593994,160015,39.044
10215,45.479578,-73.592900,160016,39.153
10215,45.480154,-73.591913,160017,39.253
10215,45.480681,-73.591045,160018,39.343
10215,45.481274,-73.590071,160019,39.444
10215,45.481285,-73.590055,160020,39.445
10215,45.481682,-73.589444,160021,39.510
10215,45.482499,-73.588191,160022,39.644
10215,45.483170,-73.587167,160023,39.753
10215,45.483697,-73.586360,160024,39.839
10215,45.484651,-73.584905,160025,39.995
10215,45.484718,-73.584800,160026,40.006
10215,45.486636,-73.581802,160027,40.323
